Type,File,Size,Run1,Run2,Run3,Run4,Run5,
branched,l_extendedprice-int32.csv,1024,      229,      229,      248,      232,      223,
branched,l_extendedprice-int32.csv,4096,      856,      764,      761,      764,      686,
branched,l_extendedprice-int32.csv,16384,     2692,     2647,     2472,     2476,     2472,
branched,l_extendedprice-int32.csv,65536,     9740,     9731,     9710,     9551,     9397,
branched,l_extendedprice-int32.csv,131072,    18898,    18879,    18535,    18891,    18706,
branched,l_extendedprice-int32.csv,262144,    38446,    38254,    42361,    40881,    45204,
branched,l_extendedprice-int32.csv,524288,   103574,    97314,    84427,    84026,    80123,
branched,l_extendedprice-int32.csv,1048576,   174864,   171353,   166344,   161288,   168775,
branched,l_extendedprice-int32.csv,2097152,   344740,   334288,   327778,   333731,   345672,
branched,l_extendedprice-int32.csv,4194304,   698442,   681171,   674231,   682088,   686840,
branched,l_orderkey-int32.csv,1024,      103,       97,      106,      100,       98,
branched,l_orderkey-int32.csv,4096,      397,      398,      383,      384,      386,
branched,l_orderkey-int32.csv,16384,     1574,     1556,     1562,     1533,     1546,
branched,l_orderkey-int32.csv,65536,     6224,     6303,     6211,     6210,     6215,
branched,l_orderkey-int32.csv,131072,    12414,    12436,    12504,    12438,    12540,
branched,l_orderkey-int32.csv,262144,    25424,    25021,    25484,    25098,    25615,
branched,l_orderkey-int32.csv,524288,    51973,    50906,    51444,    52484,    52775,
branched,l_orderkey-int32.csv,1048576,   102196,   102958,   104831,   104421,   102939,
branched,l_orderkey-int32.csv,2097152,   208128,   209002,   210145,   204124,   207751,
branched,l_orderkey-int32.csv,4194304,   410720,   418879,   411766,   418802,   412480,
branched,l_tax-int8.csv,1024,      118,      114,      117,      113,      119,
branched,l_tax-int8.csv,4096,      445,      444,      443,      443,      440,
branched,l_tax-int8.csv,16384,     1793,     1777,     1779,     1777,     1776,
branched,l_tax-int8.csv,65536,     7139,     7303,     7154,     7142,     7152,
branched,l_tax-int8.csv,131072,    14566,    14381,    14438,    14381,    14515,
branched,l_tax-int8.csv,262144,    29394,    28869,    29448,    28833,    29400,
branched,l_tax-int8.csv,524288,    58136,    59250,    58162,    59164,    58320,
branched,l_tax-int8.csv,1048576,   117556,   119438,   117195,   119290,   116931,
branched,l_tax-int8.csv,2097152,   235956,   240706,   236460,   237466,   240569,
branched,l_tax-int8.csv,4194304,   480922,   475339,   485031,   475588,   484890,
predicated,l_extendedprice-int32.csv,1024,      316,      330,      351,      352,      351,
predicated,l_extendedprice-int32.csv,4096,     1175,     1015,     1009,     1004,      871,
predicated,l_extendedprice-int32.csv,16384,     3219,     3097,     2901,     2625,     2463,
predicated,l_extendedprice-int32.csv,65536,     9183,     8535,     8245,     8163,     8155,
predicated,l_extendedprice-int32.csv,131072,    16674,    16693,    16687,    16682,    16688,
predicated,l_extendedprice-int32.csv,262144,    34025,    34419,    33992,    34496,    34064,
predicated,l_extendedprice-int32.csv,524288,    69348,    70190,    69407,    69799,    70228,
predicated,l_extendedprice-int32.csv,1048576,   143446,   141964,   143995,   141982,   144176,
predicated,l_extendedprice-int32.csv,2097152,   301841,   293060,   296886,   298694,   292608,
predicated,l_extendedprice-int32.csv,4194304,   615694,   598981,   605893,   596567,   605791,
predicated,l_orderkey-int32.csv,1024,      106,      105,      105,      107,      105,
predicated,l_orderkey-int32.csv,4096,      425,      424,      424,      424,      425,
predicated,l_orderkey-int32.csv,16384,     1720,     1719,     1721,     1721,     1718,
predicated,l_orderkey-int32.csv,65536,     7057,     7044,     7039,     7089,     7043,
predicated,l_orderkey-int32.csv,131072,    14248,    14548,    14822,    14762,    15292,
predicated,l_orderkey-int32.csv,262144,    30085,    30424,    30290,    30503,    29692,
predicated,l_orderkey-int32.csv,524288,    59559,    59814,    63350,    62114,    59822,
predicated,l_orderkey-int32.csv,1048576,   125429,   122287,   127217,   129582,   130239,
predicated,l_orderkey-int32.csv,2097152,   254704,   244579,   245779,   247608,   246085,
predicated,l_orderkey-int32.csv,4194304,   513230,   525248,   513681,   519968,   500164,
predicated,l_tax-int8.csv,1024,      120,      115,      114,      115,      114,
predicated,l_tax-int8.csv,4096,      465,      464,      463,      465,      466,
predicated,l_tax-int8.csv,16384,     1945,     1928,     1927,     1925,     1930,
predicated,l_tax-int8.csv,65536,     8015,     8025,     8017,     8012,     8102,
predicated,l_tax-int8.csv,131072,    16359,    16704,    16379,    16664,    16369,
predicated,l_tax-int8.csv,262144,    33431,    34203,    34184,    33366,    34014,
predicated,l_tax-int8.csv,524288,    68066,    69270,    68220,    69000,    68858,
predicated,l_tax-int8.csv,1048576,   139087,   141828,   141552,   139698,   140081,
predicated,l_tax-int8.csv,2097152,   284445,   297467,   294068,   286382,   291043,
predicated,l_tax-int8.csv,4194304,   610738,   601199,   583933,   628632,   606913,
